unit,"Date Time, GMT-07:00","wl3 Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","wl3 Temp, ÎçC (LGR S/N: 20389410, SEN S/N: 20389410)","wl2 Abs Pres, kPa (LGR S/N: 20389423, SEN S/N: 20389423)","wl2 Temp, å¡C (LGR S/N: 20389423, SEN S/N: 20389423)","wl1 Abs Pres, kPa (LGR S/N: 20389415, SEN S/N: 20389415)","wl2 Temp, ŒÁC (LGR S/N: 20389415, SEN S/N: 20389415)"
wl3,8/31/18 15:45,96.418,28.258,96.418,28.456,96.376,28.06
wl3,8/31/18 15:50,96.421,28.357,96.421,28.555,96.395,28.159
wl3,8/31/18 15:55,96.403,28.357,96.404,28.555,96.379,28.159
wl3,8/31/18 16:00,96.4,28.258,96.418,28.456,96.376,28.06
wl3,8/31/18 16:05,96.377,28.06,96.412,28.258,96.373,27.961
wl3,8/31/18 16:10,96.392,27.961,96.392,28.159,96.368,27.764
wl3,8/31/18 16:15,96.368,27.764,96.386,27.961,96.365,27.665
wl3,8/31/18 16:20,96.366,27.665,96.367,27.862,96.346,27.567
wl3,8/31/18 16:25,96.363,27.567,96.364,27.764,96.344,27.468
wl3,8/31/18 16:30,96.36,27.468,96.361,27.665,96.338,27.272
wl3,8/31/18 16:35,96.357,27.37,96.358,27.567,96.32,27.173
wl3,8/31/18 16:40,96.337,27.272,96.355,27.468,96.317,27.075
wl3,8/31/18 16:45,96.334,27.173,96.335,27.37,96.314,26.977
wl3,8/31/18 16:50,96.331,27.075,96.332,27.272,96.298,26.977
wl3,8/31/18 16:55,96.328,26.977,96.329,27.173,96.296,26.879
wl3,8/31/18 17:00,96.343,26.879,96.326,27.075,96.309,26.781
wl3,8/31/18 17:05,96.325,26.879,96.326,27.075,96.29,26.683
wl3,8/31/18 17:10,96.322,26.781,96.307,26.977,96.274,26.683
wl3,8/31/18 17:15,96.322,26.781,96.307,26.977,96.29,26.683
wl3,8/31/18 17:20,96.322,26.781,96.307,26.977,96.29,26.683
wl3,8/31/18 17:25,96.305,26.781,96.307,26.977,96.274,26.683
wl3,8/31/18 17:30,96.305,26.781,96.307,26.977,96.29,26.683
wl3,8/31/18 17:35,96.308,26.879,96.293,27.075,96.274,26.683
wl3,8/31/18 17:40,96.308,26.879,96.293,27.075,96.274,26.683
wl3,8/31/18 17:45,96.308,26.879,96.293,27.075,96.274,26.683
wl3,8/31/18 17:50,96.305,26.781,96.293,27.075,96.258,26.683
wl3,8/31/18 17:55,96.287,26.781,96.273,26.977,96.258,26.683
wl3,8/31/18 18:00,96.269,26.781,96.273,26.977,96.256,26.585
wl3,8/31/18 18:05,96.284,26.683,96.287,26.879,96.24,26.585
wl3,8/31/18 18:10,96.267,26.683,96.253,26.879,96.24,26.585
wl3,8/31/18 18:15,96.284,26.683,96.25,26.781,96.221,26.488
wl3,8/31/18 18:20,96.281,26.585,96.267,26.781,96.221,26.488
wl3,8/31/18 18:25,96.261,26.488,96.264,26.683,96.203,26.39
wl3,8/31/18 18:30,96.261,26.488,96.264,26.683,96.219,26.39
wl3,8/31/18 18:35,96.261,26.488,96.261,26.585,96.2,26.292
wl3,8/31/18 18:40,96.258,26.39,96.258,26.488,96.216,26.292
wl3,8/31/18 18:45,96.255,26.292,96.242,26.488,96.213,26.195
wl3,8/31/18 18:50,96.253,26.195,96.255,26.39,96.211,26.097
wl3,8/31/18 18:55,96.25,26.097,96.252,26.292,96.226,26.097
wl3,8/31/18 19:00,96.25,26.097,96.269,26.292,96.208,26
wl3,8/31/18 19:05,96.265,26,96.25,26.195,96.221,25.902
wl3,8/31/18 19:10,96.244,25.902,96.266,26.195,96.218,25.805
wl3,8/31/18 19:15,96.262,25.902,96.247,26.097,96.218,25.805
wl3,8/31/18 19:20,96.259,25.805,96.26,26,96.216,25.708
wl3,8/31/18 19:25,96.274,25.708,96.26,26,96.245,25.61
wl3,8/31/18 19:30,96.256,25.708,96.274,25.902,96.245,25.61
wl3,8/31/18 19:35,96.271,25.61,96.257,25.902,96.226,25.513
wl3,8/31/18 19:40,96.286,25.513,96.271,25.805,96.223,25.416
wl3,8/31/18 19:45,96.269,25.513,96.268,25.708,96.239,25.416
wl3,8/31/18 19:50,96.284,25.416,96.285,25.708,96.237,25.319
wl3,8/31/18 19:55,96.284,25.416,96.282,25.61,96.253,25.319
wl3,8/31/18 20:00,96.281,25.319,96.265,25.61,96.25,25.222
wl3,8/31/18 20:05,96.299,25.319,96.279,25.513,96.247,25.125
wl3,8/31/18 20:10,96.296,25.222,96.296,25.513,96.247,25.125
wl3,8/31/18 20:15,96.313,25.222,96.293,25.416,96.26,25.028
wl3,8/31/18 20:20,96.293,25.125,96.276,25.416,96.276,25.028
wl3,8/31/18 20:25,96.293,25.125,96.29,25.319,96.258,24.931
wl3,8/31/18 20:30,96.29,25.028,96.307,25.319,96.274,24.931
wl3,8/31/18 20:35,96.29,25.028,96.304,25.222,96.271,24.835
wl3,8/31/18 20:40,96.305,24.931,96.304,25.222,96.271,24.835
wl3,8/31/18 20:45,96.305,24.931,96.318,25.125,96.268,24.738
wl3,8/31/18 20:50,96.32,24.835,96.301,25.125,96.284,24.738
wl3,8/31/18 20:55,96.302,24.835,96.315,25.028,96.266,24.641
wl3,8/31/18 21:00,96.3,24.738,96.281,25.028,96.266,24.641
wl3,8/31/18 21:05,96.3,24.738,96.281,25.028,96.266,24.641
wl3,8/31/18 21:10,96.3,24.738,96.295,24.931,96.263,24.545
wl3,8/31/18 21:15,96.297,24.641,96.278,24.931,96.263,24.545
wl3,8/31/18 21:20,96.279,24.641,96.292,24.835,96.263,24.545
wl3,8/31/18 21:25,96.294,24.545,96.292,24.835,96.26,24.448
wl3,8/31/18 21:30,96.294,24.545,96.275,24.835,96.244,24.448
wl3,8/31/18 21:35,96.294,24.545,96.289,24.738,96.258,24.351
wl3,8/31/18 21:40,96.312,24.545,96.289,24.738,96.258,24.351
wl3,8/31/18 21:45,96.292,24.448,96.306,24.738,96.258,24.351
wl3,8/31/18 21:50,96.292,24.448,96.319,24.641,96.274,24.351
wl3,8/31/18 21:55,96.292,24.448,96.319,24.641,96.271,24.255
wl3,8/31/18 22:00,96.307,24.351,96.303,24.641,96.271,24.255
wl3,8/31/18 22:05,96.307,24.351,96.3,24.545,96.287,24.255
wl3,8/31/18 22:10,96.307,24.351,96.3,24.545,96.287,24.255
wl3,8/31/18 22:15,96.324,24.351,96.316,24.545,96.287,24.255
wl3,8/31/18 22:20,96.307,24.351,96.316,24.545,96.268,24.158
wl3,8/31/18 22:25,96.322,24.255,96.313,24.448,96.284,24.158
wl3,8/31/18 22:30,96.322,24.255,96.33,24.448,96.284,24.158
wl3,8/31/18 22:35,96.339,24.255,96.347,24.448,96.3,24.158
wl3,8/31/18 22:40,96.339,24.255,96.344,24.351,96.3,24.158
wl3,8/31/18 22:45,96.339,24.255,96.361,24.351,96.3,24.158
wl3,8/31/18 22:50,96.339,24.255,96.361,24.351,96.316,24.158
wl3,8/31/18 22:55,96.375,24.255,96.361,24.351,96.316,24.158
wl3,8/31/18 23:00,96.357,24.255,96.377,24.351,96.332,24.158
wl3,8/31/18 23:05,96.372,24.158,96.358,24.255,96.332,24.158
wl3,8/31/18 23:10,96.372,24.158,96.375,24.255,96.332,24.158
wl3,8/31/18 23:15,96.372,24.158,96.375,24.255,96.332,24.158
wl3,8/31/18 23:20,96.372,24.158,96.375,24.255,96.332,24.158
wl3,8/31/18 23:25,96.369,24.062,96.372,24.158,96.329,24.062
wl3,8/31/18 23:30,96.387,24.062,96.388,24.158,96.345,24.062
wl3,8/31/18 23:35,96.387,24.062,96.388,24.158,96.345,24.062
wl3,8/31/18 23:40,96.387,24.062,96.372,24.158,96.345,24.062
wl3,8/31/18 23:45,96.366,23.966,96.369,24.062,96.342,23.966
wl3,8/31/18 23:50,96.366,23.966,96.385,24.062,96.342,23.966
wl3,8/31/18 23:55,96.384,23.966,96.385,24.062,96.358,23.966
wl3,9/1/18 0:00,96.402,23.966,96.402,24.062,96.356,23.869
wl3,9/1/18 0:05,96.402,23.966,96.402,24.062,96.356,23.869
wl3,9/1/18 0:10,96.399,23.869,96.402,24.062,96.356,23.869
wl3,9/1/18 0:15,96.399,23.869,96.399,23.966,96.356,23.869
wl3,9/1/18 0:20,96.399,23.869,96.399,23.966,96.356,23.869
wl3,9/1/18 0:25,96.417,23.869,96.399,23.966,96.353,23.773
wl3,9/1/18 0:30,96.414,23.773,96.416,23.966,96.369,23.773
wl3,9/1/18 0:35,96.432,23.773,96.416,23.966,96.369,23.773
wl3,9/1/18 0:40,96.432,23.773,96.399,23.966,96.382,23.677
wl3,9/1/18 0:45,96.414,23.773,96.396,23.869,96.382,23.677
wl3,9/1/18 0:50,96.414,23.773,96.413,23.869,96.366,23.677
wl3,9/1/18 0:55,96.411,23.677,96.413,23.869,96.35,23.677
wl3,9/1/18 1:00,96.411,23.677,96.41,23.773,96.363,23.581
wl3,9/1/18 1:05,96.394,23.677,96.393,23.773,96.348,23.581
wl3,9/1/18 1:10,96.394,23.677,96.393,23.773,96.363,23.581
wl3,9/1/18 1:15,96.391,23.581,96.41,23.773,96.348,23.581
wl3,9/1/18 1:20,96.391,23.581,96.39,23.677,96.363,23.581
wl3,9/1/18 1:25,96.409,23.581,96.39,23.677,96.345,23.484
wl3,9/1/18 1:30,96.388,23.484,96.37,23.581,96.329,23.484
wl3,9/1/18 1:35,96.371,23.484,96.37,23.581,96.345,23.484
wl3,9/1/18 1:40,96.388,23.484,96.387,23.581,96.345,23.484
wl3,9/1/18 1:45,96.388,23.484,96.387,23.581,96.345,23.484
wl3,9/1/18 1:50,96.388,23.484,96.401,23.484,96.345,23.484
wl3,9/1/18 1:55,96.368,23.388,96.384,23.484,96.342,23.388
wl3,9/1/18 2:00,96.386,23.388,96.401,23.484,96.358,23.388
wl3,9/1/18 2:05,96.386,23.388,96.401,23.484,96.327,23.388
wl3,9/1/18 2:10,96.386,23.388,96.384,23.484,96.342,23.388
wl3,9/1/18 2:15,96.386,23.388,96.415,23.388,96.342,23.388
wl3,9/1/18 2:20,96.383,23.292,96.398,23.388,96.34,23.292
wl3,9/1/18 2:25,96.401,23.292,96.398,23.388,96.356,23.292
wl3,9/1/18 2:30,96.401,23.292,96.415,23.388,96.356,23.292
wl3,9/1/18 2:35,96.383,23.292,96.398,23.388,96.356,23.292
wl3,9/1/18 2:40,96.401,23.292,96.395,23.292,96.371,23.292
wl3,9/1/18 2:45,96.418,23.292,96.412,23.292,96.371,23.292
wl3,9/1/18 2:50,96.398,23.196,96.412,23.292,96.371,23.292
wl3,9/1/18 2:55,96.416,23.196,96.412,23.292,96.356,23.292
wl3,9/1/18 3:00,96.416,23.196,96.428,23.292,96.369,23.196
wl3,9/1/18 3:05,96.416,23.196,96.412,23.292,96.385,23.196
wl3,9/1/18 3:10,96.398,23.196,96.412,23.292,96.369,23.196
wl3,9/1/18 3:15,96.416,23.196,96.412,23.292,96.369,23.196
wl3,9/1/18 3:20,96.433,23.196,96.428,23.292,96.369,23.196
wl3,9/1/18 3:25,96.416,23.196,96.425,23.196,96.385,23.196
wl3,9/1/18 3:30,96.433,23.196,96.442,23.196,96.385,23.196
wl3,9/1/18 3:35,96.431,23.1,96.442,23.196,96.401,23.196
wl3,9/1/18 3:40,96.431,23.1,96.442,23.196,96.398,23.1
wl3,9/1/18 3:45,96.448,23.1,96.442,23.196,96.414,23.1
wl3,9/1/18 3:50,96.448,23.1,96.442,23.196,96.414,23.1
wl3,9/1/18 3:55,96.431,23.1,96.442,23.196,96.398,23.1
wl3,9/1/18 4:00,96.448,23.1,96.442,23.196,96.398,23.1
wl3,9/1/18 4:05,96.448,23.1,96.459,23.196,96.414,23.1
wl3,9/1/18 4:10,96.448,23.1,96.459,23.196,96.414,23.1
wl3,9/1/18 4:15,96.448,23.1,96.459,23.196,96.43,23.1
wl3,9/1/18 4:20,96.448,23.1,96.456,23.1,96.43,23.1
wl3,9/1/18 4:25,96.448,23.1,96.456,23.1,96.43,23.1
wl3,9/1/18 4:30,96.431,23.1,96.473,23.1,96.43,23.1
wl3,9/1/18 4:35,96.466,23.1,96.473,23.1,96.43,23.1
wl3,9/1/18 4:40,96.466,23.1,96.473,23.1,96.43,23.1
wl3,9/1/18 4:45,96.463,23.004,96.473,23.1,96.446,23.1
wl3,9/1/18 4:50,96.463,23.004,96.489,23.1,96.459,23.004
wl3,9/1/18 4:55,96.463,23.004,96.473,23.1,96.443,23.004
wl3,9/1/18 5:00,96.463,23.004,96.473,23.1,96.427,23.004
wl3,9/1/18 5:05,96.481,23.004,96.473,23.1,96.443,23.004
wl3,9/1/18 5:10,96.463,23.004,96.489,23.1,96.443,23.004
wl3,9/1/18 5:15,96.481,23.004,96.489,23.1,96.443,23.004
wl3,9/1/18 5:20,96.481,23.004,96.473,23.1,96.459,23.004
wl3,9/1/18 5:25,96.481,23.004,96.489,23.1,96.459,23.004
wl3,9/1/18 5:30,96.481,23.004,96.506,23.1,96.459,23.004
wl3,9/1/18 5:35,96.499,23.004,96.506,23.1,96.459,23.004
wl3,9/1/18 5:40,96.499,23.004,96.503,23.004,96.459,23.004
wl3,9/1/18 5:45,96.516,23.004,96.537,23.004,96.49,23.004
wl3,9/1/18 5:50,96.516,23.004,96.52,23.004,96.475,23.004
wl3,9/1/18 5:55,96.534,23.004,96.537,23.004,96.49,23.004
wl3,9/1/18 6:00,96.531,22.908,96.537,23.004,96.506,23.004
wl3,9/1/18 6:05,96.531,22.908,96.553,23.004,96.504,22.908
wl3,9/1/18 6:10,96.531,22.908,96.553,23.004,96.504,22.908
wl3,9/1/18 6:15,96.531,22.908,96.553,23.004,96.52,22.908
wl3,9/1/18 6:20,96.549,22.908,96.553,23.004,96.52,22.908
wl3,9/1/18 6:25,96.567,22.908,96.567,22.908,96.52,22.908
wl3,9/1/18 6:30,96.564,22.812,96.55,22.908,96.517,22.812
wl3,9/1/18 6:35,96.564,22.812,96.567,22.908,96.533,22.812
wl3,9/1/18 6:40,96.564,22.812,96.584,22.908,96.533,22.812
wl3,9/1/18 6:45,96.564,22.812,96.584,22.908,96.549,22.812
wl3,9/1/18 6:50,96.582,22.812,96.584,22.908,96.564,22.812
wl3,9/1/18 6:55,96.582,22.812,96.601,22.908,96.564,22.812
wl3,9/1/18 7:00,96.582,22.812,96.601,22.908,96.564,22.812
wl3,9/1/18 7:05,96.602,22.908,96.604,23.004,96.564,22.812
wl3,9/1/18 7:10,96.602,22.908,96.604,23.004,96.567,22.908
wl3,9/1/18 7:15,96.587,23.004,96.607,23.1,96.57,23.004
wl3,9/1/18 7:20,96.608,23.1,96.61,23.196,96.57,23.004
wl3,9/1/18 7:25,96.61,23.196,96.61,23.196,96.572,23.1
wl3,9/1/18 7:30,96.61,23.196,96.613,23.292,96.591,23.196
wl3,9/1/18 7:35,96.613,23.292,96.632,23.388,96.593,23.292
wl3,9/1/18 7:40,96.634,23.388,96.652,23.484,96.612,23.388
wl3,9/1/18 7:45,96.636,23.484,96.638,23.581,96.614,23.484
wl3,9/1/18 7:50,96.639,23.581,96.641,23.677,96.614,23.484
wl3,9/1/18 7:55,96.642,23.677,96.641,23.677,96.617,23.581
wl3,9/1/18 8:00,96.662,23.773,96.644,23.773,96.636,23.677
wl3,9/1/18 8:05,96.647,23.869,96.647,23.869,96.622,23.773
wl3,9/1/18 8:10,96.65,23.966,96.65,23.966,96.625,23.869
wl3,9/1/18 8:15,96.653,24.062,96.67,24.062,96.612,23.966
wl3,9/1/18 8:20,96.638,24.158,96.673,24.158,96.614,24.062
wl3,9/1/18 8:25,96.658,24.255,96.659,24.255,96.633,24.158
wl3,9/1/18 8:30,96.658,24.255,96.662,24.351,96.636,24.255
wl3,9/1/18 8:35,96.661,24.351,96.665,24.448,96.638,24.351
wl3,9/1/18 8:40,96.681,24.448,96.665,24.448,96.657,24.448
wl3,9/1/18 8:45,96.684,24.545,96.685,24.545,96.659,24.545
wl3,9/1/18 8:50,96.684,24.545,96.671,24.641,96.659,24.545
wl3,9/1/18 8:55,96.687,24.641,96.671,24.641,96.644,24.545
wl3,9/1/18 9:00,96.687,24.641,96.671,24.641,96.646,24.641
wl3,9/1/18 9:05,96.687,24.641,96.688,24.641,96.662,24.641
wl3,9/1/18 9:10,96.687,24.641,96.688,24.641,96.646,24.641
wl3,9/1/18 9:15,96.687,24.641,96.688,24.641,96.646,24.641
wl3,9/1/18 9:20,96.687,24.641,96.688,24.641,96.646,24.641
wl3,9/1/18 9:25,96.704,24.641,96.671,24.641,96.646,24.641
wl3,9/1/18 9:30,96.687,24.641,96.688,24.641,96.646,24.641
wl3,9/1/18 9:35,96.687,24.641,96.688,24.641,96.662,24.641
wl3,9/1/18 9:40,96.687,24.641,96.688,24.641,96.662,24.641
wl3,9/1/18 9:45,96.687,24.641,96.688,24.641,96.662,24.641
wl3,9/1/18 9:50,96.704,24.641,96.705,24.641,96.662,24.641
wl3,9/1/18 9:55,96.704,24.641,96.691,24.738,96.678,24.641
wl3,9/1/18 10:00,96.707,24.738,96.691,24.738,96.665,24.738
wl3,9/1/18 10:05,96.689,24.738,96.708,24.738,96.665,24.738
wl3,9/1/18 10:10,96.707,24.738,96.691,24.738,96.649,24.738
wl3,9/1/18 10:15,96.689,24.738,96.691,24.738,96.649,24.738
wl3,9/1/18 10:20,96.689,24.738,96.691,24.738,96.649,24.738
wl3,9/1/18 10:25,96.672,24.738,96.674,24.738,96.649,24.738
wl3,9/1/18 10:30,96.672,24.738,96.674,24.738,96.649,24.738
wl3,9/1/18 10:35,96.672,24.738,96.677,24.835,96.649,24.738
wl3,9/1/18 10:40,96.657,24.835,96.677,24.835,96.636,24.835
wl3,9/1/18 10:45,96.657,24.835,96.677,24.835,96.636,24.835
wl3,9/1/18 10:50,96.657,24.835,96.677,24.835,96.636,24.835
wl3,9/1/18 10:55,96.657,24.835,96.664,24.931,96.62,24.835
wl3,9/1/18 11:00,96.659,24.931,96.664,24.931,96.638,24.931
wl3,9/1/18 11:05,96.659,24.931,96.664,24.931,96.638,24.931
wl3,9/1/18 11:10,96.659,24.931,96.65,25.028,96.638,24.931
wl3,9/1/18 11:15,96.645,25.028,96.633,25.028,96.625,25.028
wl3,9/1/18 11:20,96.627,25.028,96.65,25.028,96.609,25.028
wl3,9/1/18 11:25,96.645,25.028,96.636,25.125,96.609,25.028
wl3,9/1/18 11:30,96.647,25.125,96.636,25.125,96.612,25.125
wl3,9/1/18 11:35,96.63,25.125,96.619,25.125,96.596,25.125
wl3,9/1/18 11:40,96.63,25.125,96.622,25.222,96.596,25.125
wl3,9/1/18 11:45,96.615,25.222,96.605,25.222,96.583,25.222
wl3,9/1/18 11:50,96.615,25.222,96.605,25.222,96.567,25.222
wl3,9/1/18 11:55,96.615,25.222,96.589,25.222,96.567,25.222
wl3,9/1/18 12:00,96.579,25.222,96.592,25.319,96.57,25.319
wl3,9/1/18 12:05,96.582,25.319,96.575,25.319,96.554,25.319
wl3,9/1/18 12:10,96.564,25.319,96.575,25.319,96.554,25.319
wl3,9/1/18 12:15,96.567,25.416,96.578,25.416,96.541,25.416
wl3,9/1/18 12:20,96.549,25.416,96.544,25.416,96.541,25.416
wl3,9/1/18 12:25,96.549,25.416,96.547,25.513,96.541,25.416
wl3,9/1/18 12:30,96.552,25.513,96.547,25.513,96.527,25.513
wl3,9/1/18 12:35,96.552,25.513,96.547,25.513,96.527,25.513
wl3,9/1/18 12:40,96.552,25.513,96.55,25.61,96.512,25.513
wl3,9/1/18 12:45,96.537,25.61,96.534,25.61,96.498,25.61
wl3,9/1/18 12:50,96.537,25.61,96.517,25.61,96.514,25.61
wl3,9/1/18 12:55,96.519,25.61,96.52,25.708,96.501,25.708
wl3,9/1/18 13:00,96.504,25.708,96.503,25.708,96.485,25.708
wl3,9/1/18 13:05,96.504,25.708,96.489,25.805,96.485,25.708
wl3,9/1/18 13:10,96.507,25.805,96.489,25.805,96.472,25.805
wl3,9/1/18 13:15,96.489,25.805,96.472,25.805,96.456,25.805
wl3,9/1/18 13:20,96.492,25.902,96.475,25.902,96.459,25.902
wl3,9/1/18 13:25,96.475,25.902,96.478,26,96.443,25.902
wl3,9/1/18 13:30,96.477,26,96.478,26,96.43,26
wl3,9/1/18 13:35,96.477,26,96.462,26,96.43,26
wl3,9/1/18 13:40,96.442,26,96.448,26.097,96.43,26
wl3,9/1/18 13:45,96.445,26.097,96.448,26.097,96.417,26.097
wl3,9/1/18 13:50,96.445,26.097,96.431,26.097,96.401,26.097
wl3,9/1/18 13:55,96.445,26.097,96.431,26.097,96.401,26.097
wl3,9/1/18 14:00,96.427,26.097,96.414,26.097,96.385,26.097
wl3,9/1/18 14:05,96.412,26.195,96.417,26.195,96.388,26.195
wl3,9/1/18 14:10,96.415,26.292,96.403,26.292,96.375,26.292
wl3,9/1/18 14:15,96.4,26.39,96.39,26.39,96.359,26.292
wl3,9/1/18 14:20,96.382,26.39,96.39,26.39,96.361,26.39
wl3,9/1/18 14:25,96.385,26.488,96.376,26.488,96.348,26.488
wl3,9/1/18 14:30,96.367,26.488,96.376,26.488,96.348,26.488
wl3,9/1/18 14:35,96.367,26.488,96.359,26.488,96.348,26.488
wl3,9/1/18 14:40,96.35,26.488,96.359,26.488,96.332,26.488
wl3,9/1/18 14:45,96.35,26.488,96.359,26.488,96.316,26.488
wl3,9/1/18 14:50,96.352,26.585,96.345,26.585,96.319,26.585
wl3,9/1/18 14:55,96.317,26.585,96.331,26.683,96.303,26.585
wl3,9/1/18 15:00,96.32,26.683,96.331,26.683,96.287,26.585
wl3,9/1/18 15:05,96.32,26.683,96.318,26.781,96.29,26.683
wl3,9/1/18 15:10,96.32,26.683,96.318,26.781,96.29,26.683
wl3,9/1/18 15:15,96.308,26.879,96.304,26.879,96.293,26.781
wl3,9/1/18 15:20,96.31,26.977,96.307,26.977,96.28,26.879
wl3,9/1/18 15:25,96.293,26.977,96.293,27.075,96.264,26.879
wl3,9/1/18 15:30,96.257,26.977,96.256,26.977,96.264,26.879
wl3,9/1/18 15:35,96.272,26.879,96.273,26.977,96.248,26.879
wl3,9/1/18 15:40,96.254,26.879,96.256,26.977,96.232,26.879
wl3,9/1/18 15:45,96.254,26.879,96.237,26.879,96.214,26.781
wl3,9/1/18 15:50,96.237,26.879,96.256,26.977,96.232,26.879
wl3,9/1/18 15:55,96.239,26.977,96.24,26.977,96.2,26.879
wl3,9/1/18 16:00,96.239,26.977,96.24,26.977,96.216,26.879
wl3,9/1/18 16:05,96.219,26.879,96.223,26.977,96.216,26.879
wl3,9/1/18 16:10,96.237,26.879,96.24,26.977,96.232,26.879
wl3,9/1/18 16:15,96.237,26.879,96.237,26.879,96.198,26.781
wl3,9/1/18 16:20,96.237,26.879,96.22,26.879,96.214,26.781
wl3,9/1/18 16:25,96.216,26.781,96.22,26.879,96.198,26.781
wl3,9/1/18 16:30,96.216,26.781,96.217,26.781,96.198,26.781
wl3,9/1/18 16:35,96.216,26.781,96.217,26.781,96.214,26.781
wl3,9/1/18 16:40,96.213,26.683,96.217,26.781,96.179,26.683
wl3,9/1/18 16:45,96.213,26.683,96.214,26.683,96.195,26.683
wl3,9/1/18 16:50,96.213,26.683,96.214,26.683,96.179,26.683
wl3,9/1/18 16:55,96.193,26.585,96.214,26.683,96.176,26.585
wl3,9/1/18 17:00,96.193,26.585,96.197,26.683,96.176,26.585
wl3,9/1/18 17:05,96.193,26.585,96.211,26.585,96.192,26.585
wl3,9/1/18 17:10,96.193,26.585,96.194,26.585,96.161,26.585
wl3,9/1/18 17:15,96.193,26.585,96.194,26.585,96.176,26.585
wl3,9/1/18 17:20,96.19,26.488,96.194,26.585,96.161,26.585
wl3,9/1/18 17:25,96.19,26.488,96.177,26.585,96.174,26.488
wl3,9/1/18 17:30,96.172,26.488,96.191,26.488,96.174,26.488
wl3,9/1/18 17:35,96.19,26.488,96.191,26.488,96.174,26.488
wl3,9/1/18 17:40,96.19,26.488,96.191,26.488,96.174,26.488
wl3,9/1/18 17:45,96.19,26.488,96.194,26.585,96.174,26.488
wl3,9/1/18 17:50,96.19,26.488,96.194,26.585,96.176,26.585
wl3,9/1/18 17:55,96.19,26.488,96.177,26.585,96.176,26.585
wl3,9/1/18 18:00,96.19,26.488,96.177,26.585,96.161,26.585
wl3,9/1/18 18:05,96.211,26.585,96.194,26.585,96.161,26.585
wl3,9/1/18 18:10,96.19,26.488,96.194,26.585,96.161,26.585
wl3,9/1/18 18:15,96.19,26.488,96.194,26.585,96.176,26.585
wl3,9/1/18 18:20,96.208,26.488,96.194,26.585,96.174,26.488
wl3,9/1/18 18:25,96.19,26.488,96.191,26.488,96.158,26.488
wl3,9/1/18 18:30,96.19,26.488,96.191,26.488,96.174,26.488
wl3,9/1/18 18:35,96.205,26.39,96.208,26.488,96.158,26.488
wl3,9/1/18 18:40,96.205,26.39,96.208,26.488,96.187,26.39
wl3,9/1/18 18:45,96.202,26.292,96.205,26.39,96.187,26.39
wl3,9/1/18 18:50,96.202,26.292,96.205,26.39,96.184,26.292
wl3,9/1/18 18:55,96.202,26.292,96.202,26.292,96.184,26.292
wl3,9/1/18 19:00,96.199,26.195,96.202,26.292,96.2,26.292
wl3,9/1/18 19:05,96.217,26.195,96.216,26.195,96.181,26.195
wl3,9/1/18 19:10,96.214,26.097,96.233,26.195,96.213,26.195
wl3,9/1/18 19:15,96.232,26.097,96.233,26.195,96.197,26.195
wl3,9/1/18 19:20,96.232,26.097,96.233,26.195,96.211,26.097
wl3,9/1/18 19:25,96.229,26,96.23,26.097,96.211,26.097
wl3,9/1/18 19:30,96.212,26,96.23,26.097,96.195,26.097
wl3,9/1/18 19:35,96.212,26,96.23,26.097,96.208,26
